org,org_conviction,org_country,continent,indiv,indiv_type,categorized,cat_agw_opinion,cat_occupation,cat_organisation,cat_relgion_opinion,cat_topic,country,wiki_type_x
australians for northern development and economic vision,unconvinced of agw,australia,oceania,nicholas van der sluys,members,person,,,,,,,
australians for northern development and economic vision,unconvinced of agw,australia,oceania,nick verkerk,members,person,,,,,,,
australians for northern development and economic vision,unconvinced of agw,australia,oceania,tad watroba,members,person,,,,,,,
australians for northern development and economic vision,unconvinced of agw,australia,oceania,karl wentzel,members,person,,,,,,,
australians for northern development and economic vision,unconvinced of agw,australia,oceania,andrew white,members,person,,,,,,,
conservative action network,unconvinced of agw,australia,oceania,stop gillards,lobbying,person,,,,,,,
conservative action network,unconvinced of agw,australia,oceania,david flint,members,person,unconvinced of agw,,,,,,
conservative action network,unconvinced of agw,australia,oceania,greg jacobs,members,person,,,,,,,
conservative action network,unconvinced of agw,australia,oceania,kathleen linger,members,person,,,,,,,
conservative action network,unconvinced of agw,australia,oceania,david bennett,members,person,,,,,,,
conservative action network,unconvinced of agw,australia,oceania,alan jones,members,person,unconvinced of agw,,,,,,
conservative leadership foundation,unconvinced of agw,australia,oceania,stop gillards,lobbying,person,,,,,,,
conservative leadership foundation,unconvinced of agw,australia,oceania,cory bernardi,members,person,unconvinced of agw,,,,,,
conservative leadership foundation,unconvinced of agw,australia,oceania,geoffrey greene,members,person,,,,,,,
conservative leadership foundation,unconvinced of agw,australia,oceania,dani keys,members,person,,,,,,,
conservative leadership foundation,unconvinced of agw,australia,oceania,sophie york,members,person,,,,,,,
conservative leadership foundation,unconvinced of agw,australia,oceania,paul russell,members,person,,,,,,,
mannkal economic foundation,unconvinced of agw,australia,oceania,ron manners,members,person,unconvinced of agw,,,,,,
mannkal economic foundation,unconvinced of agw,australia,oceania,bill stacey,members,person,,,,,,,
mannkal economic foundation,unconvinced of agw,australia,oceania,paul mccarthy,members,person,,,,,,,
mannkal economic foundation,unconvinced of agw,australia,oceania,sarah basden,members,person,,,,,,,
mannkal economic research foundation,unconvinced of agw,australia,oceania,stop gillards,lobbying,person,,,,,,,
mannkal economic research foundation,unconvinced of agw,australia,oceania,ron manners,members,person,unconvinced of agw,,,,,,
mannkal economic research foundation,unconvinced of agw,australia,oceania,john hyde,members,person,,,,,,,
mannkal economic research foundation,unconvinced of agw,australia,oceania,john corser,members,person,,,,,,,
mannkal economic research foundation,unconvinced of agw,australia,oceania,judy carroll,members,person,,,,,,,
mannkal economic research foundation,unconvinced of agw,australia,oceania,henri herti,members,person,,,,,,,
mannkal economic research foundation,unconvinced of agw,australia,oceania,andrew pickford,members,person,,,,,,,
mannkal economic research foundation,unconvinced of agw,australia,oceania,jessica pendal,members,person,,,,,,,
mannkal economic research foundation,unconvinced of agw,australia,oceania,luke mcgrath,members,person,,,,,,,
mannkal economic research foundation,unconvinced of agw,australia,oceania,emma crisp,members,person,,,,,,,
mannkal economic research foundation,unconvinced of agw,australia,oceania,sarah pendal,members,person,,,,,,,
mannkal economic research foundation,unconvinced of agw,australia,oceania,felicity karageorge,members,person,,,,,,,
mannkal economic research foundation,unconvinced of agw,australia,oceania,matthew lock,members,person,,,,,,,
mannkal economic research foundation,unconvinced of agw,australia,oceania,tim robinson,members,person,,,,,,,
mannkal economic research foundation,unconvinced of agw,australia,oceania,bill stacey,members,person,,,,,,,
mannkal economic research foundation,unconvinced of agw,australia,oceania,paul mccarthy,members,person,,,,,,,
mannkal economic research foundation,unconvinced of agw,australia,oceania,sarah basden,members,person,,,,,,,
mannkal economic research foundation,unconvinced of agw,australia,oceania,brad walmsley,members,person,,,,,,,
the galileo movement,unconvinced of agw,australia,oceania,john smeed,members,person,unconvinced of agw,,,,,,
